loop_time,x,y,z,angle_x,angle_y,angle_z,layer,do1,rwfs,swfs,tcp_speed_output
0.016769599984399974,177.78,-102.56,385.0,-179.43,-0.29,178.08,1.0,0.0,8.0,8.0,0.1
0.014748900022823364,177.96,-101.93,383.53,-179.43,-0.29,178.08,1.0,0.0,8.0,8.0,0.1
0.013424600008875132,178.16,-101.28,382.07,-179.43,-0.29,178.08,1.0,0.0,8.0,8.0,0.1
0.015697100025136024,178.35,-100.63,380.61,-179.43,-0.29,178.08,1.0,0.0,8.0,8.0,0.1
0.01527079998049885,178.49,-100.15,379.52,-179.43,-0.29,178.08,1.0,0.0,8.0,8.0,0.1
0.012927600007969886,178.74,-99.35,377.69,-179.43,-0.29,178.08,1.0,0.0,8.0,8.0,0.1
0.0145584000274539,178.86,-98.88,376.58,-179.43,-0.29,178.08,1.0,0.0,8.0,8.0,0.1
0.015493500046432018,179.03,-98.28,375.09,-179.43,-0.29,178.08,1.0,0.0,8.0,8.0,0.1
0.015406500024255365,179.2,-97.64,373.6,-179.43,-0.29,178.08,1.0,0.0,8.0,8.0,0.1
0.01426940003875643,179.38,-97.01,372.12,-179.42,-0.29,178.08,1.0,0.0,8.0,8.0,0.1
